,0
0,Arkansas
1,Connecticut
2,Delaware
3,Georgia
4,Iowa
5,Kansas
6,Kentucky
7,Louisiana
8,Maryland
9,Massachusetts
10,Michigan
11,Minnesota
12,Mississippi
13,Missouri
14,Nebraska
15,New Hampshire
16,New Jersey
17,Oklahoma
18,Pennsylvania
19,Rhode Island
20,Vermont
